Taxon,longitude,latitude
Spiraea_hypericifolia_subsp._hypericifolia,103.206643,34.258625
Spiraea_hypericifolia_subsp._hypericifolia,122.067042,46.077561
Spiraea_hypericifolia_subsp._hypericifolia,107.809316,51.908277
Spiraea_hypericifolia_subsp._hypericifolia,107.515604,51.232851
Spiraea_hypericifolia_subsp._hypericifolia,107.772356,51.08703
Spiraea_hypericifolia_subsp._hypericifolia,105.966958,50.562842
Spiraea_hypericifolia_subsp._hypericifolia,107.105706,51.148292
Spiraea_hypericifolia_subsp._hypericifolia,107.370186,51.749542
Spiraea_hypericifolia_subsp._hypericifolia,107.643333,51.549722
Spiraea_hypericifolia_subsp._hypericifolia,106.672188,47.876708
Spiraea_hypericifolia_subsp._hypericifolia,107.458434,51.727506
Spiraea_hypericifolia_subsp._hypericifolia,107.543694,51.239272
Spiraea_hypericifolia_subsp._hypericifolia,105.738618,51.205257
Spiraea_hypericifolia_subsp._hypericifolia,114.7963,51.7627
Spiraea_hypericifolia_subsp._hypericifolia,107.796162,51.068341
Spiraea_hypericifolia_subsp._hypericifolia,114.083618,51.361516
Spiraea_hypericifolia_subsp._hypericifolia,107.106139,51.150161
Spiraea_hypericifolia_subsp._hypericifolia,107.509068,51.220855
Spiraea_hypericifolia_subsp._hypericifolia,106.035173,46.201498
Spiraea_hypericifolia_subsp._hypericifolia,105.93109,47.692137
Spiraea_hypericifolia_subsp._hypericifolia,108.360817,51.336178
Spiraea_hypericifolia_subsp._hypericifolia,107.126492,47.914043
Spiraea_hypericifolia_subsp._hypericifolia,114.840736,50.821136
Spiraea_hypericifolia_subsp._hypericifolia,109.240387,52.188204
Spiraea_hypericifolia_subsp._hypericifolia,107.344812,51.537947
Spiraea_hypericifolia_subsp._hypericifolia,107.507837,51.218322
Spiraea_hypericifolia_subsp._hypericifolia,106.845,51.638
Spiraea_hypericifolia_subsp._hypericifolia,109.255,52.29
Spiraea_hypericifolia_subsp._hypericifolia,112.961,50.512
Spiraea_hypericifolia_subsp._hypericifolia,116.646,50.715
