grid_id,total_species,type1_freq,type2_freq,type3_freq,type4_freq,type5_freq,type6_freq,lat_range,lon_range
305,2,0.5,0.5,0,0,0,0,22.34 - 23.17,99.63 - 100.53
306,3,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,22.34 - 23.17,100.53 - 101.42
309,2,0.5,0,0,0,0,0.5,22.34 - 23.17,103.22 - 104.12
310,5,0.4,0.2,0,0,0.2,0.2,22.34 - 23.17,104.12 - 105.02
312,2,0,0,0,0.5,0,0.5,22.34 - 23.17,105.92 - 106.81
313,2,0,0,0,0,0.5,0.5,22.34 - 23.17,106.81 - 107.71
314,1,1,0,0,0,0,0,22.34 - 23.17,107.71 - 108.61
315,2,0,0,0,0,1,0,22.34 - 23.17,108.61 - 109.51
319,1,1,0,0,0,0,0,22.34 - 23.17,112.2 - 113.1
328,2,0.5,0,0,0,0,0.5,22.34 - 23.17,120.29 - 121.19
697,2,1,0,0,0,0,0,23.17 - 23.99,98.73 - 99.63
698,2,0.5,0.5,0,0,0,0,23.17 - 23.99,99.63 - 100.53
700,2,1,0,0,0,0,0,23.17 - 23.99,101.42 - 102.32
701,2,0.5,0,0,0,0,0.5,23.17 - 23.99,102.32 - 103.22
702,2,0.5,0,0,0,0,0.5,23.17 - 23.99,103.22 - 104.12
703,4,0.25,0.25,0,0.25,0,0.25,23.17 - 23.99,104.12 - 105.02
704,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,23.17 - 23.99,105.02 - 105.92
705,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,23.17 - 23.99,105.92 - 106.81
706,1,0,0,0,0,0,1,23.17 - 23.99,106.81 - 107.71
709,3,0.333333333333333,0,0,0,0.666666666666667,0,23.17 - 23.99,109.51 - 110.41
712,1,0,0,0,0,1,0,23.17 - 23.99,112.2 - 113.1
713,1,0,0,0,0,1,0,23.17 - 23.99,113.1 - 114
714,1,0,0,0,0,1,0,23.17 - 23.99,114 - 114.9
715,1,0,0,0,0,1,0,23.17 - 23.99,114.9 - 115.8
716,2,0,0,0,0,1,0,23.17 - 23.99,115.8 - 116.7
721,5,0.4,0,0,0,0.4,0.2,23.17 - 23.99,120.29 - 121.19
722,4,0.5,0,0,0,0.25,0.25,23.17 - 23.99,121.19 - 122.09
1089,2,0.5,0,0,0,0,0.5,23.99 - 24.81,97.83 - 98.73
1090,4,0.5,0.25,0,0,0,0.25,23.99 - 24.81,98.73 - 99.63
1091,1,1,0,0,0,0,0,23.99 - 24.81,99.63 - 100.53
1092,1,1,0,0,0,0,0,23.99 - 24.81,100.53 - 101.42
1093,3,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,23.99 - 24.81,101.42 - 102.32
1094,6,0.166666666666667,0.166666666666667,0,0.5,0,0.166666666666667,23.99 - 24.81,102.32 - 103.22
1095,3,0,0.666666666666667,0,0,0,0.333333333333333,23.99 - 24.81,103.22 - 104.12
1096,2,0.5,0,0,0.5,0,0,23.99 - 24.81,104.12 - 105.02
1097,6,0.166666666666667,0,0,0.5,0.166666666666667,0.166666666666667,23.99 - 24.81,105.02 - 105.92
1098,4,0.25,0,0,0.25,0,0.5,23.99 - 24.81,105.92 - 106.81
1099,2,0,0,0,0,0.5,0.5,23.99 - 24.81,106.81 - 107.71
1101,3,0,0,0,0.333333333333333,0.666666666666667,0,23.99 - 24.81,108.61 - 109.51
1102,4,0,0,0,0.25,0.75,0,23.99 - 24.81,109.51 - 110.41
